machine_id,temperature,vibration,pressure,speed,torque,tool_wear,failure
M0045,72.21,3.25,99.68,1474.95,36.34,44.01,0
M0046,88.13,6.67,109.85,1433.69,62.97,99.17,1
M0047,97.63,4.59,116.84,1379.9,63.96,93.08,1
M0048,96.21,5.43,117.45,1359.73,63.08,95.05,1
M0049,71.33,2.15,100.44,1529.53,37.96,6.18,0
M0050,61.57,3.16,105.74,1477.91,43.34,24.98,0
M0051,90.72,7.79,109.38,1437.34,52.68,98.69,1
M0052,57.17,2.09,103.83,1481.37,42.88,30.57,0
M0053,66.53,1.64,103.67,1450.17,47.03,31.92,0
M0054,69.84,2.68,100.91,1457.0,43.64,21.51,0
M0055,71.96,2.8,100.4,1480.93,40.31,25.12,0
M0056,57.55,2.05,105.52,1517.73,46.74,35.78,0
M0057,65.96,1.0,100.3,1492.99,42.54,37.74,0
M0058,63.84,1.53,101.79,1540.12,45.35,13.48,0
M0059,65.31,2.58,100.68,1531.84,44.76,38.64,0
M0060,58.98,1.06,99.96,1497.51,46.05,8.64,0
M0061,67.6,1.49,103.57,1499.44,38.17,37.8,0
M0062,70.02,2.93,98.85,1492.51,37.29,52.9,0
M0063,56.0,1.62,104.79,1495.65,45.42,38.38,0
M0064,91.91,7.83,118.7,1405.14,60.79,82.67,1
M0065,90.96,7.64,116.92,1392.72,53.89,73.65,1
M0066,70.32,2.3,103.01,1477.46,36.01,19.29,0
M0067,61.39,2.35,99.11,1473.13,44.02,40.32,0
M0068,63.15,2.36,101.33,1470.68,40.46,50.24,0
M0069,68.91,3.14,104.12,1488.04,35.08,22.59,0
M0070,72.07,3.38,101.35,1524.75,42.1,35.16,0
M0071,59.39,2.09,98.23,1483.61,43.83,25.22,0
M0072,64.35,1.32,102.98,1452.7,40.12,33.22,0
M0073,67.85,1.34,101.69,1455.03,39.93,15.58,0
M0074,70.22,1.95,104.02,1533.19,38.28,9.1,0
M0075,65.79,3.5,100.8,1515.01,45.16,37.59,0
M0076,73.99,1.5,98.16,1465.24,36.64,38.47,0
M0077,59.36,2.75,104.14,1466.78,42.89,42.4,0
M0078,71.39,3.41,98.86,1452.57,39.06,38.87,0
M0079,87.93,7.0,108.91,1412.16,59.41,68.57,1
M0080,72.01,2.5,98.97,1548.38,45.17,22.36,0
M0081,62.41,2.26,100.73,1534.96,45.69,10.28,0
M0082,92.71,7.4,116.49,1389.19,61.01,98.79,1
M0083,71.16,2.35,101.87,1493.56,44.5,18.42,0
M0084,96.61,4.8,118.58,1371.95,56.97,86.36,1
M0085,55.57,3.13,99.45,1471.21,45.37,22.02,0
M0086,94.02,5.47,108.12,1435.33,51.28,90.2,1
M0087,70.16,2.73,103.17,1499.08,45.31,9.65,0
M0088,68.84,1.77,102.65,1497.33,41.9,26.28,0
M0089,61.62,2.76,100.17,1475.14,36.57,14.63,0
M0090,65.72,2.91,99.48,1471.64,41.29,41.23,0
M0091,90.49,5.49,109.21,1367.47,53.41,71.28,1
M0092,65.68,1.69,105.79,1505.34,44.07,11.31,0
M0093,89.82,7.55,114.89,1392.25,56.61,71.45,1
M0094,73.82,2.19,104.58,1490.07,35.96,36.47,0
M0095,57.98,2.41,100.43,1549.39,36.54,43.22,0
M0096,70.81,1.56,102.18,1495.05,40.76,48.01,0
M0097,86.11,6.67,115.32,1416.61,64.21,72.27,1
M0098,68.21,1.39,99.39,1457.51,35.03,27.53,0
M0099,60.83,1.58,103.66,1520.3,40.9,39.37,0
M0100,95.76,6.69,115.93,1434.03,56.38,84.06,1
M0101,73.17,3.07,98.57,1466.59,39.0,42.45,0
M0102,60.77,1.31,103.51,1519.97,47.25,30.02,0
M0103,56.61,1.1,101.46,1482.23,38.25,9.57,0
M0104,96.72,6.51,119.41,1439.96,60.08,74.43,1
M0105,70.13,2.18,103.21,1541.61,37.36,34.27,0
M0106,64.83,1.23,100.78,1483.33,43.71,47.89,0
M0107,68.87,1.72,105.56,1531.36,42.15,27.74,0
M0108,61.47,3.43,101.23,1501.46,47.85,37.88,0
M0109,63.26,1.47,100.89,1525.64,43.13,43.0,0
M0110,65.98,3.32,101.5,1519.83,36.58,53.66,0
M0111,59.79,1.4,102.41,1505.23,36.21,54.61,0
M0112,89.23,4.91,117.99,1394.85,60.75,82.81,1
M0113,71.69,3.45,99.95,1505.13,39.99,51.09,0
M0114,72.59,3.16,100.21,1529.0,40.39,51.71,0
M0115,71.41,1.71,100.39,1508.69,47.99,29.48,0
M0116,65.77,1.86,102.42,1504.34,40.92,21.09,0
M0117,68.95,2.43,99.87,1527.55,35.57,42.24,0
M0118,71.23,1.97,103.31,1532.07,47.75,29.77,0
M0119,65.05,2.48,104.96,1537.42,40.72,31.3,0
M0120,69.45,2.02,103.24,1465.44,41.1,53.46,0
M0121,68.85,2.62,104.81,1535.23,46.17,24.0,0
M0122,69.37,2.9,104.98,1453.59,35.89,36.56,0
M0123,99.95,7.11,113.21,1358.86,59.51,95.54,1
M0124,68.88,3.26,98.37,1529.61,38.81,23.74,0
M0125,65.62,2.41,104.34,1467.0,36.03,48.54,0
M0126,59.82,3.28,99.14,1496.11,38.3,17.77,0
M0127,71.09,3.25,103.42,1465.8,40.74,22.28,0
M0128,67.78,2.06,100.0,1534.53,37.59,24.23,0
M0129,59.74,2.43,102.6,1549.27,38.84,53.9,0
M0130,60.49,2.41,103.49,1524.47,35.64,35.32,0
M0131,73.08,1.72,104.39,1510.71,39.58,36.83,0
M0132,68.56,2.8,103.27,1533.83,43.17,50.17,0
M0133,61.18,2.1,102.64,1523.24,36.17,19.76,0
M0134,58.51,1.33,102.32,1547.15,41.9,50.67,0
M0135,85.14,7.39,113.78,1422.58,61.2,76.86,1
M0136,74.26,1.35,105.73,1536.01,44.41,54.0,0
M0137,96.09,5.78,117.49,1351.25,58.05,80.92,1
M0138,68.45,2.46,104.58,1544.03,36.41,16.69,0
M0139,72.68,2.4,105.32,1472.14,35.82,46.19,0
M0140,86.04,5.93,109.68,1435.16,54.57,82.24,1
M0141,72.75,1.34,101.63,1517.05,44.66,52.3,0
M0142,69.85,1.39,101.32,1459.9,41.36,25.41,0
M0143,80.65,5.8,113.32,1435.55,62.83,68.48,1
M0144,65.89,3.44,100.87,1489.81,37.47,11.11,0
M0145,89.09,6.82,115.7,1403.74,50.32,92.54,1
M0146,57.52,2.41,98.55,1526.52,37.69,15.8,0
M0147,86.57,5.02,118.81,1350.26,62.88,70.06,1
M0148,60.01,1.44,103.29,1452.58,35.19,44.5,0
M0149,61.48,1.44,98.42,1524.17,41.84,42.28,0
M0150,70.56,2.28,98.87,1500.38,47.29,7.17,0
M0151,72.34,2.3,101.66,1546.4,35.79,28.95,0
M0152,68.72,2.23,105.28,1457.35,36.05,35.41,0
M0153,60.5,2.58,102.39,1482.52,47.93,31.53,0
M0154,67.11,1.25,103.61,1535.28,43.46,43.45,0
M0155,59.3,2.13,99.83,1483.89,40.9,25.8,0
M0156,63.54,2.66,100.99,1465.26,47.0,8.36,0
M0157,81.86,4.84,116.87,1423.06,58.35,85.53,1
M0158,61.59,1.31,100.83,1516.53,44.75,48.4,0
M0159,74.37,2.5,100.81,1507.79,37.77,37.84,0
M0160,57.16,3.11,100.94,1526.26,42.46,45.36,0
M0161,99.49,7.36,115.36,1407.84,50.39,97.52,1
M0162,85.35,5.13,116.43,1377.81,55.1,65.21,1
M0163,91.33,5.9,109.7,1406.99,50.46,91.11,1
M0164,63.4,1.85,100.96,1522.16,45.1,33.38,0
M0165,56.05,1.39,102.94,1517.4,38.54,38.1,0
M0166,63.84,1.68,104.04,1461.38,40.59,19.16,0
M0167,64.73,2.67,98.36,1489.53,42.79,5.38,0
M0168,59.22,1.34,100.04,1482.81,35.1,42.35,0
M0169,62.6,2.76,102.0,1533.34,45.48,8.6,0
M0170,80.85,4.57,119.05,1427.59,58.64,85.07,1
M0171,63.35,1.29,98.17,1482.48,45.42,35.91,0
M0172,98.4,4.81,118.13,1371.9,58.83,83.34,1
M0173,61.21,1.85,100.66,1466.81,41.64,10.7,0
M0174,73.12,1.87,103.82,1531.89,45.6,16.81,0
M0175,58.95,2.51,104.08,1515.55,37.3,43.64,0
M0176,70.09,2.9,101.59,1542.42,42.34,36.76,0
M0177,72.28,2.57,99.21,1456.83,40.75,20.14,0
M0178,56.12,2.27,100.48,1495.19,35.74,46.58,0
M0179,72.29,3.14,102.92,1500.71,41.02,32.72,0
M0180,72.92,2.12,104.48,1515.18,39.18,28.78,0
M0181,56.24,1.26,105.19,1484.34,44.29,30.23,0
M0182,59.95,2.09,101.52,1502.27,37.06,23.64,0
M0183,63.18,1.85,102.78,1528.92,43.41,8.3,0
M0184,68.57,1.71,103.79,1515.66,46.78,48.66,0
M0185,66.65,1.35,100.8,1546.77,44.08,24.6,0
M0186,73.76,1.77,101.01,1529.17,45.57,38.51,0
M0187,94.78,6.9,114.32,1408.14,56.35,77.66,1
M0188,58.61,1.54,105.58,1498.63,37.95,11.88,0
M0189,71.89,1.25,104.17,1533.51,46.49,6.89,0
M0190,70.33,1.33,101.01,1466.22,45.81,43.55,0
M0191,83.31,6.03,112.93,1410.87,53.56,80.55,1
M0192,69.97,2.12,102.27,1480.95,45.51,28.45,0
M0193,87.36,7.81,119.81,1391.55,54.23,78.37,1
M0194,74.33,3.04,104.41,1463.84,38.25,37.06,0
M0195,91.09,4.86,118.15,1426.6,54.28,91.71,1
M0196,73.11,1.37,101.5,1544.64,37.89,27.56,0
M0197,55.53,1.13,102.02,1473.58,47.93,23.75,0
M0198,73.62,3.1,103.2,1529.14,36.79,19.34,0
M0199,93.92,4.99,116.47,1390.37,50.08,67.77,1
M0200,71.7,2.37,103.82,1502.78,36.45,19.41,0
M0201,55.95,2.05,104.35,1495.71,36.44,50.26,0
M0202,55.33,2.29,99.94,1464.36,40.58,35.74,0
M0203,63.33,2.66,98.68,1547.47,35.88,31.3,0
M0204,74.77,2.39,101.12,1497.01,43.26,54.05,0
M0205,55.32,2.97,100.76,1523.29,43.17,43.58,0
M0206,61.65,1.11,102.37,1531.35,37.28,43.96,0
M0207,68.91,2.58,104.49,1456.31,45.09,27.88,0
M0208,55.88,1.5,98.34,1543.34,41.7,54.46,0
M0209,60.07,2.88,99.53,1485.7,45.15,48.29,0
M0210,57.49,1.92,105.12,1524.33,46.63,24.33,0
M0211,89.92,6.24,119.09,1396.73,62.02,90.45,1
M0212,67.05,3.06,102.36,1482.12,36.04,38.05,0
M0213,67.05,2.07,103.52,1485.15,35.55,48.5,0
M0214,74.96,1.69,105.84,1544.79,35.98,36.88,0
M0215,71.02,2.7,105.62,1464.28,42.9,44.07,0
M0216,56.34,2.95,100.93,1488.29,42.37,35.25,0
M0217,73.98,1.93,104.1,1507.39,41.88,24.9,0
M0218,59.99,1.28,103.89,1499.9,40.03,33.08,0
M0219,60.21,2.12,105.97,1478.56,46.91,29.56,0
M0220,72.06,2.13,105.19,1494.51,36.14,39.1,0
M0221,86.39,5.72,108.78,1398.8,63.37,94.8,1
M0222,73.55,2.59,104.35,1500.88,36.58,15.05,0
M0223,70.81,1.07,102.43,1486.89,45.45,32.58,0
M0224,56.72,1.77,106.0,1521.89,41.83,43.46,0
M0225,81.48,7.9,115.71,1390.5,60.2,77.06,1
M0226,95.61,6.74,110.18,1436.96,56.49,96.87,1
M0227,57.48,1.38,99.32,1482.27,44.22,22.3,0
M0228,97.9,7.46,111.01,1407.16,58.26,69.38,1
M0229,65.67,2.26,99.35,1544.16,37.0,37.94,0
M0230,67.1,3.11,102.51,1532.52,35.37,7.27,0
M0231,66.54,2.63,104.14,1491.66,43.31,29.9,0
M0232,60.79,3.39,101.86,1530.47,43.9,19.87,0
M0233,56.2,2.1,101.87,1470.4,42.89,20.63,0
M0234,69.68,3.15,105.8,1463.08,39.82,33.08,0
M0235,64.33,1.67,99.98,1459.68,38.77,24.21,0
M0236,59.97,3.16,99.28,1482.74,42.51,20.64,0
M0237,64.97,2.29,101.99,1480.85,35.3,52.26,0
M0238,74.33,1.54,100.82,1455.05,41.43,49.12,0
M0239,64.41,2.34,104.78,1493.09,46.47,41.38,0
M0240,62.32,2.0,102.56,1469.47,42.19,8.68,0
M0241,70.29,1.7,105.91,1518.04,36.54,53.75,0
M0242,70.9,1.85,105.51,1525.5,37.59,30.46,0
M0243,55.91,1.34,100.66,1497.37,40.94,35.31,0
M0244,61.56,2.53,99.3,1549.06,44.61,19.96,0
M0245,71.57,2.33,103.67,1479.98,45.6,23.42,0
M0246,74.6,2.46,104.37,1522.53,43.94,6.33,0
M0247,74.34,2.96,104.21,1507.76,44.38,34.18,0
M0248,67.58,2.55,104.73,1464.78,43.85,6.58,0
M0249,82.2,4.57,111.76,1363.63,60.36,79.36,1
M0250,73.41,3.18,103.89,1456.23,36.8,15.37,0
M0251,68.24,2.31,100.51,1467.32,46.86,22.12,0
M0252,70.44,2.8,103.15,1519.33,42.93,14.61,0
M0253,66.16,1.56,105.78,1479.76,38.76,15.36,0
M0254,61.34,1.87,105.47,1529.54,38.55,11.09,0
M0255,62.59,3.45,104.55,1545.46,45.46,19.52,0
M0256,69.28,1.87,101.54,1475.64,41.23,15.1,0
M0257,73.66,2.74,99.1,1511.57,42.63,17.12,0
M0258,65.62,2.59,98.42,1491.33,44.33,10.03,0
M0259,55.1,2.38,105.43,1490.69,47.16,48.92,0
M0260,58.99,3.41,100.57,1514.59,46.8,9.47,0
M0261,65.7,2.81,105.49,1541.32,37.28,49.11,0
M0262,73.39,3.49,101.18,1499.54,47.18,53.11,0
M0263,97.53,4.53,114.82,1359.66,64.74,74.96,1
M0264,90.87,6.23,119.26,1426.6,57.02,71.75,1
M0265,58.25,2.15,100.06,1468.62,44.58,44.54,0
M0266,70.15,1.44,104.85,1539.7,45.75,30.76,0
M0267,68.39,1.46,99.12,1482.36,38.22,18.04,0
M0268,70.08,3.39,100.42,1522.29,35.15,37.68,0
M0269,56.24,1.3,100.45,1490.54,41.53,49.76,0
M0270,61.22,1.29,105.33,1479.5,42.99,15.96,0
M0271,58.06,2.87,102.85,1491.58,42.14,28.54,0
M0272,68.28,1.55,99.98,1525.47,46.35,9.09,0
M0273,69.08,1.2,102.51,1456.18,42.12,30.27,0
M0274,58.0,1.82,102.16,1461.62,37.67,34.16,0
M0275,65.21,3.02,101.63,1501.32,40.94,7.89,0
M0276,71.14,2.81,101.17,1531.65,44.7,33.92,0
M0277,61.89,1.16,105.95,1543.46,35.9,51.69,0
M0278,63.18,2.92,104.13,1547.83,43.4,26.02,0
M0279,87.65,7.54,118.88,1383.81,60.24,88.16,1
M0280,68.07,1.87,99.43,1503.73,41.87,41.39,0
M0281,55.07,1.06,100.39,1517.35,42.08,31.6,0
M0282,84.95,5.71,111.31,1434.37,60.88,68.95,1
M0283,88.38,7.18,118.61,1351.41,53.09,68.53,1
M0284,66.96,2.76,98.39,1524.05,40.23,16.72,0
M0285,72.27,1.14,102.03,1478.93,45.61,41.58,0
M0286,66.96,2.68,100.57,1480.18,36.86,38.01,0
M0287,61.01,1.15,105.59,1537.97,46.85,36.3,0
M0288,64.91,3.43,105.53,1517.13,45.22,20.94,0
M0289,57.98,1.94,104.04,1497.35,46.04,20.04,0
M0290,71.12,3.29,102.5,1546.78,42.24,11.7,0
M0291,59.07,2.62,105.38,1534.71,36.2,41.23,0
M0292,60.37,2.68,102.82,1537.36,37.45,43.08,0
M0293,66.18,2.2,104.96,1483.3,47.44,5.77,0
M0294,99.24,4.91,119.99,1393.1,53.64,86.15,1
M0295,73.3,2.38,104.2,1488.07,41.94,22.96,0
M0296,65.26,2.24,98.79,1548.13,41.1,46.99,0
M0297,87.41,5.95,114.75,1369.91,52.19,74.13,1
M0298,91.58,5.96,109.83,1379.69,55.7,94.17,1
M0299,68.09,2.71,100.06,1532.16,47.56,37.08,0
M0300,58.36,2.99,99.35,1522.03,41.35,50.84,0
M0301,67.84,1.15,98.27,1534.67,47.29,38.41,0
M0302,63.25,3.11,99.85,1520.72,35.12,30.29,0
M0303,67.36,2.67,102.93,1498.32,41.34,5.33,0
M0304,55.24,2.32,100.2,1547.75,35.22,45.66,0
M0305,71.12,3.27,98.86,1459.63,36.94,14.6,0
M0306,71.3,1.67,101.18,1487.31,40.28,33.25,0
M0307,84.52,6.89,118.17,1408.84,62.87,91.59,1
M0308,62.59,2.38,98.45,1450.95,37.23,29.99,0
M0309,70.69,2.41,104.86,1459.54,41.87,7.13,0
M0310,72.36,3.22,101.8,1454.66,35.97,51.28,0
M0311,91.27,4.62,119.15,1378.3,64.42,85.55,1
M0312,69.25,2.0,98.62,1466.25,38.13,46.73,0
M0313,72.93,1.83,104.04,1464.0,47.85,41.21,0
M0314,74.49,1.13,101.5,1533.87,39.43,43.45,0
M0315,87.93,7.21,108.36,1374.6,64.89,82.17,1
M0316,73.82,2.08,103.44,1516.07,36.11,35.93,0
M0317,69.26,1.21,99.23,1521.17,43.24,41.98,0
M0318,57.13,1.01,100.47,1485.99,38.51,11.63,0
M0319,63.98,2.39,101.26,1452.63,39.6,9.65,0
M0320,61.49,1.96,100.33,1488.78,36.1,50.06,0
M0321,99.56,6.5,110.03,1384.27,52.08,75.54,1
M0322,56.27,2.09,101.37,1498.42,36.0,17.58,0
M0323,67.5,2.48,99.56,1460.7,38.96,52.44,0
M0324,67.4,3.01,100.64,1483.47,45.6,47.98,0
M0325,82.72,5.62,119.37,1368.08,54.71,98.76,1
M0326,85.83,6.93,113.89,1401.83,53.64,78.16,1
M0327,87.86,4.9,114.77,1403.3,58.18,88.86,1
M0328,74.06,2.15,103.67,1493.85,38.79,39.64,0
M0329,95.91,5.93,113.99,1407.0,53.63,88.05,1
M0330,70.78,1.18,105.93,1497.92,40.21,30.33,0
M0331,93.83,6.4,117.49,1382.36,63.43,83.79,1
M0332,56.7,2.92,103.26,1485.5,43.41,7.21,0
M0333,93.55,5.9,117.03,1436.91,56.46,65.37,1
M0334,65.21,2.3,102.64,1507.52,40.8,24.56,0
M0335,66.77,2.25,100.76,1452.46,36.36,25.8,0
M0336,82.32,7.79,109.7,1378.07,56.83,72.24,1
M0337,64.52,2.1,103.57,1481.89,38.9,45.51,0
M0338,71.98,2.62,103.42,1466.44,47.79,17.2,0
M0339,58.2,2.4,105.67,1473.19,40.27,14.22,0
M0340,63.64,1.07,102.91,1469.73,42.7,24.44,0
M0341,59.12,2.88,104.47,1456.26,36.32,48.6,0
M0342,61.52,2.14,100.1,1536.26,41.86,36.96,0
M0343,67.23,2.47,100.78,1534.55,43.03,45.69,0
M0344,60.95,2.54,98.68,1463.39,36.53,20.27,0
M0345,68.87,2.28,101.35,1463.79,39.99,14.29,0
M0346,68.87,2.61,106.0,1505.49,41.37,12.01,0
M0347,64.02,1.13,100.87,1450.96,36.77,45.76,0
M0348,90.11,6.23,116.22,1387.41,62.6,82.1,1
M0349,55.62,2.9,100.34,1477.49,41.99,13.41,0
M0350,69.85,2.91,102.4,1461.32,36.48,43.76,0
M0351,87.34,7.38,108.5,1414.71,58.2,99.64,1
M0352,71.6,2.88,100.38,1549.93,40.85,22.43,0
M0353,88.78,7.98,117.31,1371.33,62.16,85.58,1
M0354,69.22,2.58,99.33,1463.92,37.69,15.35,0
M0355,62.02,1.7,102.31,1482.37,44.15,19.47,0
M0356,72.16,3.46,103.43,1459.52,47.52,44.28,0
M0357,99.85,7.53,109.52,1427.95,53.75,89.9,1
M0358,95.23,6.87,113.87,1401.97,54.03,79.5,1
M0359,67.67,3.2,98.74,1501.56,38.62,51.82,0
M0360,74.01,1.82,98.02,1527.41,44.53,41.55,0
M0361,68.28,1.9,98.51,1503.44,37.83,26.48,0
M0362,60.37,3.07,100.7,1507.79,42.36,29.27,0
M0363,68.65,1.12,98.8,1528.39,40.97,11.21,0
M0364,88.83,4.5,119.5,1368.21,60.33,69.62,1
M0365,58.18,3.33,100.19,1515.46,38.26,23.59,0
M0366,83.31,5.89,111.67,1412.95,53.51,87.94,1
M0367,55.02,2.19,99.06,1472.62,43.84,5.46,0
M0368,71.34,3.47,101.38,1463.22,35.92,24.15,0
M0369,57.05,1.78,105.05,1463.71,45.05,42.66,0
M0370,74.86,1.36,102.24,1450.85,43.45,27.0,0
M0371,67.56,1.38,101.29,1518.66,46.18,9.33,0
M0372,70.05,2.47,101.07,1546.32,39.09,11.99,0
M0373,56.68,2.38,102.8,1510.76,45.13,39.52,0
M0374,93.17,5.56,114.21,1395.86,61.22,75.34,1
M0375,72.96,3.39,101.96,1461.27,41.49,34.7,0
M0376,74.55,3.47,105.47,1463.2,46.19,33.42,0
M0377,68.66,2.91,105.64,1527.04,35.22,8.38,0
M0378,55.8,1.15,104.31,1500.66,43.17,30.05,0
M0379,69.04,1.21,102.29,1511.6,38.61,20.5,0
M0380,59.06,3.02,102.29,1489.07,43.25,46.73,0
M0381,56.32,2.75,103.84,1534.65,35.75,9.31,0
M0382,64.07,2.52,100.47,1524.17,44.63,10.97,0
M0383,69.03,1.41,105.62,1502.3,45.18,41.04,0
M0384,57.54,2.95,100.15,1538.64,45.03,6.47,0
M0385,85.44,4.72,116.55,1401.9,51.16,80.93,1
M0386,64.99,2.42,100.94,1475.51,36.34,33.7,0
M0387,59.57,2.27,98.35,1536.29,38.18,28.59,0
M0388,58.0,3.33,104.86,1505.29,46.88,42.03,0
M0389,61.44,2.04,103.76,1477.13,36.01,23.64,0
M0390,73.04,1.45,104.43,1548.14,47.4,8.45,0
M0391,60.65,3.11,100.62,1505.31,35.1,15.03,0
M0392,61.08,2.56,101.71,1509.17,41.41,43.63,0
M0393,73.01,2.9,99.96,1450.64,40.33,16.65,0
M0394,71.79,3.19,105.61,1450.15,43.54,47.45,0
M0395,57.08,2.32,99.91,1499.2,35.78,54.85,0
M0396,56.86,3.3,105.18,1501.98,44.11,23.62,0
M0397,81.7,4.83,109.6,1423.8,51.12,84.87,1
M0398,74.28,1.59,100.09,1481.5,45.41,40.04,0
M0399,61.36,1.68,98.6,1470.27,45.14,34.24,0
M0400,58.29,2.17,101.25,1503.59,47.54,15.38,0
M0401,60.3,1.3,99.26,1518.61,45.74,39.84,0
M0402,71.72,1.82,98.73,1474.82,39.62,30.67,0
M0403,60.2,3.48,98.25,1490.44,40.88,42.4,0
M0404,64.24,3.01,99.12,1451.2,45.79,54.13,0
M0405,71.47,1.93,103.04,1514.47,42.57,17.94,0
M0406,80.44,4.73,118.83,1389.91,51.93,96.68,1
M0407,86.63,4.65,113.53,1365.12,58.61,93.76,1
M0408,55.59,2.71,99.38,1471.47,37.43,18.99,0
M0409,80.69,6.67,110.95,1376.56,56.18,84.27,1
M0410,60.6,1.34,99.6,1538.47,41.84,36.54,0
M0411,95.9,7.96,117.38,1382.32,58.17,81.96,1
M0412,90.05,5.86,110.16,1378.7,53.29,96.35,1
M0413,56.17,3.48,102.24,1526.68,47.99,53.7,0
M0414,68.14,1.67,104.53,1541.73,35.73,54.82,0
M0415,71.93,2.99,100.84,1533.92,45.99,13.81,0
M0416,71.12,2.74,105.31,1452.82,44.11,52.38,0
M0417,66.26,1.47,105.9,1538.16,41.4,20.45,0
M0418,56.81,1.58,99.75,1502.64,35.01,50.89,0
M0419,57.61,2.79,105.35,1534.43,39.21,6.1,0
M0420,73.34,2.94,104.77,1536.07,47.49,23.68,0
M0421,87.91,4.85,111.62,1362.28,52.36,98.2,1
M0422,74.21,2.62,99.39,1546.87,44.02,51.44,0
M0423,59.46,2.47,99.4,1480.68,43.95,11.37,0
M0424,73.98,3.37,101.13,1549.43,47.55,6.62,0
M0425,73.42,3.42,99.77,1506.56,47.18,12.03,0
M0426,59.76,3.46,99.34,1538.53,36.15,40.45,0
M0427,72.73,2.12,100.12,1474.95,35.88,17.83,0
M0428,55.03,1.96,103.86,1546.91,46.5,29.65,0
M0429,65.92,1.25,101.84,1536.41,43.46,39.36,0
M0430,56.47,3.11,100.36,1481.87,47.37,8.71,0
M0431,62.51,2.83,102.38,1539.81,36.21,34.7,0
M0432,64.65,1.08,105.54,1466.5,46.57,12.86,0
M0433,59.11,1.47,103.58,1522.2,44.49,18.26,0
M0434,59.75,1.12,102.57,1533.99,37.0,23.04,0
M0435,60.89,2.66,102.8,1469.97,35.33,13.54,0
M0436,56.64,3.11,100.47,1489.75,41.36,38.05,0
M0437,65.88,1.46,105.08,1486.94,40.8,18.16,0
M0438,59.52,1.67,98.49,1525.22,43.68,9.29,0
M0439,65.83,3.43,102.72,1505.36,45.93,45.92,0
M0440,65.71,3.17,101.8,1538.17,41.19,8.95,0
M0441,94.29,6.26,118.81,1422.04,60.16,86.71,1
M0442,70.14,1.43,105.87,1547.22,45.51,11.31,0
M0443,74.77,2.09,105.98,1512.72,45.84,17.89,0
M0444,98.28,4.73,112.66,1385.76,54.89,74.67,1
M0445,72.47,2.97,102.98,1502.26,40.45,25.72,0
M0446,66.76,2.9,105.52,1542.49,42.31,10.05,0
M0447,65.71,1.86,101.29,1488.3,41.31,35.45,0
M0448,60.51,1.36,102.87,1519.37,35.5,49.48,0
M0449,59.75,2.86,105.37,1539.7,35.26,45.87,0
